state,area,total_votes,rep_votes,dem_votes,third_votes,other_votes,year
California,LAKE,23213,0.2877,0.4544,0.2497,0.0082,1992
California,LASSEN,10362,0.3702,0.327,0.2899,0.0129,1992
California,LOS ANGELES,2753403,0.2904,0.5254,0.1775,0.0068,1992
California,MADERA,30245,0.432,0.3592,0.2035,0.0053,1992
California,MARIN,130707,0.2332,0.5827,0.1759,0.0083,1992
California,MARIPOSA,8287,0.3598,0.3648,0.2668,0.0086,1992
California,MENDOCINO,36538,0.2178,0.5021,0.2669,0.0132,1992
California,MERCED,49284,0.3648,0.4085,0.2215,0.0052,1992
California,MODOC,4625,0.3898,0.3219,0.2744,0.0138,1992
California,MONO,4355,0.3605,0.3419,0.2866,0.011,1992
California,MONTEREY,116689,0.3125,0.4701,0.2097,0.0077,1992
California,NAPA,53455,0.293,0.453,0.246,0.008,1992
California,NEVADA,44201,0.3924,0.3492,0.2505,0.008,1992
California,ORANGE,972549,0.4387,0.3156,0.239,0.0068,1992
California,PLACER,91366,0.4192,0.3369,0.238,0.006,1992
California,PLUMAS,9949,0.3617,0.3761,0.2564,0.0057,1992
California,RIVERSIDE,430275,0.3706,0.3864,0.2376,0.0054,1992
California,SACRAMENTO,453512,0.3536,0.4356,0.2016,0.0092,1992
California,SAN BENITO,12739,0.3228,0.4203,0.2498,0.0071,1992
California,SAN BERNARDINO,474070,0.3724,0.3874,0.2303,0.0099,1992
California,SAN DIEGO,986646,0.3569,0.3724,0.2628,0.008,1992
California,SAN FRANCISCO,322207,0.178,0.724,0.0901,0.008,1992
California,SAN JOAQUIN,154210,0.3784,0.4128,0.2024,0.0065,1992
California,SAN LUIS OBISPO,104619,0.3478,0.3836,0.2611,0.0075,1992
California,SAN MATEO,276508,0.2715,0.5397,0.1825,0.0063,1992
California,SANTA BARBARA,162756,0.3525,0.4253,0.2157,0.0065,1992
California,SANTA CLARA,602055,0.2838,0.4921,0.2141,0.01,1992
California,SANTA CRUZ,113992,0.2186,0.5806,0.1896,0.0112,1992
California,SHASTA,68359,0.4124,0.3161,0.2632,0.0084,1992
California,SIERRA,1875,0.3685,0.3483,0.2768,0.0064,1992
California,SISKIYOU,20679,0.3221,0.3991,0.2692,0.0096,1992
California,SOLANO,132111,0.2943,0.4869,0.2108,0.008,1992
California,SONOMA,197691,0.2409,0.5278,0.2219,0.0095,1992
California,STANISLAUS,128005,0.3693,0.4095,0.216,0.0052,1992
California,SUTTER,25860,0.501,0.3048,0.1887,0.0054,1992
California,TEHAMA,20979,0.3536,0.3579,0.2805,0.008,1992
California,TRINITY,6029,0.3128,0.3263,0.347,0.0139,1992
California,TULARE,88553,0.4571,0.3522,0.1855,0.0051,1992
California,TUOLUMNE,24178,0.3526,0.3812,0.2603,0.0059,1992
California,VENTURA,267647,0.3546,0.3699,0.2684,0.007,1992
California,YOLO,62436,0.2815,0.5333,0.1773,0.0079,1992
California,YUBA,16895,0.434,0.3424,0.2153,0.0083,1992
Colorado,ADAMS,103077,0.2993,0.44,0.2559,0.0047,1992
Colorado,ALAMOSA,4617,0.3405,0.4176,0.2359,0.0061,1992
Colorado,ARAPAHOE,183935,0.3926,0.3621,0.2412,0.004,1992
Colorado,ARCHULETA,2816,0.4411,0.2908,0.2631,0.005,1992
Colorado,BACA,2622,0.4729,0.2769,0.2468,0.0034,1992
Colorado,BENT,2257,0.3363,0.4364,0.2242,0.0031,1992
Colorado,BOULDER,126771,0.2647,0.5093,0.219,0.007,1992
Colorado,CHAFFEE,6282,0.3851,0.3636,0.2466,0.0048,1992
Colorado,CHEYENNE,1212,0.5074,0.2483,0.2409,0.0033,1992
Colorado,CLEAR CREEK,4460,0.304,0.391,0.2933,0.0117,1992
Colorado,CONEJOS,3465,0.3348,0.4921,0.1668,0.0063,1992
Colorado,COSTILLA,1753,0.2088,0.6731,0.1135,0.0046,1992
Colorado,CROWLEY,1458,0.4129,0.3909,0.1893,0.0069,1992
Colorado,CUSTER,1375,0.4735,0.2495,0.2676,0.0095,1992
Colorado,DELTA,10494,0.4154,0.3263,0.2503,0.008,1992
Colorado,DENVER,217919,0.2543,0.5597,0.1712,0.0149,1992
Colorado,DOLORES,846,0.3723,0.2861,0.3369,0.0047,1992
Colorado,DOUGLAS,40060,0.4641,0.2494,0.2828,0.0037,1992
Colorado,EAGLE,10870,0.2852,0.356,0.3515,0.0073,1992
Colorado,EL PASO,167169,0.5147,0.2741,0.2055,0.0057,1992
Colorado,ELBERT,5045,0.4371,0.2452,0.3106,0.0071,1992
Colorado,FREMONT,15131,0.394,0.354,0.2451,0.0069,1992
Colorado,GARFIELD,13976,0.3151,0.3636,0.3154,0.0059,1992
Colorado,GILPIN,1759,0.2626,0.4127,0.3098,0.0148,1992
Colorado,GRAND,4918,0.3585,0.3412,0.2956,0.0047,1992
Colorado,GUNNISON,5759,0.2886,0.4148,0.2902,0.0064,1992
Colorado,HINSDALE,476,0.395,0.3172,0.2857,0.0021,1992
Colorado,HUERFANO,2313,0.2962,0.5292,0.1665,0.0082,1992
Colorado,JACKSON,966,0.4369,0.2236,0.3375,0.0021,1992
Colorado,JEFFERSON,223203,0.3705,0.3622,0.2617,0.0056,1992
Colorado,KIOWA,1030,0.4583,0.2816,0.2592,0.001,1992
Colorado,KIT CARSON,3658,0.4923,0.2529,0.2512,0.0036,1992
Colorado,LA PLATA,15613,0.3537,0.3787,0.2615,0.0061,1992
Colorado,LAKE,2923,0.207,0.4879,0.2952,0.0099,1992
Colorado,LARIMER,99660,0.3612,0.3836,0.2496,0.0056,1992
Colorado,LAS ANIMAS,6569,0.2647,0.5856,0.1451,0.0046,1992
Colorado,LINCOLN,2306,0.4679,0.2775,0.252,0.0026,1992
Colorado,LOGAN,8345,0.4098,0.3257,0.2617,0.0028,1992
Colorado,MESA,44067,0.4123,0.3441,0.2377,0.0059,1992
Colorado,MINERAL,449,0.3541,0.3808,0.2606,0.0045,1992
Colorado,MOFFAT,5095,0.3551,0.272,0.368,0.0049,1992
Colorado,MONTEZUMA,7638,0.409,0.2972,0.2887,0.0051,1992
Colorado,MONTROSE,11723,0.4135,0.3167,0.2638,0.006,1992
Colorado,MORGAN,8930,0.417,0.3343,0.2436,0.0052,1992
Colorado,OTERO,8313,0.3753,0.4192,0.1913,0.0142,1992
Colorado,OURAY,1583,0.4125,0.2912,0.2944,0.0019,1992
Colorado,PARK,4276,0.3578,0.3057,0.3265,0.0101,1992
Colorado,PHILLIPS,2303,0.4668,0.3005,0.228,0.0048,1992
Colorado,PITKIN,7469,0.2257,0.5114,0.2553,0.0075,1992
Colorado,PROWERS,5377,0.441,0.3292,0.2202,0.0097,1992
Colorado,PUEBLO,56438,0.2856,0.5362,0.1744,0.0038,1992
Colorado,RIO BLANCO,2850,0.4319,0.273,0.2786,0.0165,1992
Colorado,RIO GRANDE,4533,0.4251,0.34,0.2301,0.0049,1992
Colorado,ROUTT,8161,0.2889,0.3906,0.3142,0.0062,1992
Colorado,SAGUACHE,2174,0.3105,0.465,0.2167,0.0078,1992
Colorado,SAN JUAN,453,0.2605,0.3245,0.404,0.011,1992
Colorado,SAN MIGUEL,2663,0.2358,0.5182,0.2381,0.0079,1992
Colorado,SEDGWICK,1146,0.3901,0.3464,0.2574,0.0061,1992
Colorado,SUMMIT,8370,0.2695,0.3995,0.3244,0.0066,1992
Colorado,TELLER,6914,0.4411,0.2709,0.2787,0.0093,1992
Colorado,WASHINGTON,2613,0.4845,0.2526,0.2568,0.0061,1992
Colorado,WELD,54029,0.3879,0.3571,0.2512,0.0038,1992
Colorado,YUMA,4505,0.4482,0.2817,0.2657,0.0044,1992
Connecticut,FAIRFIELD,409410,0.4278,0.3913,0.1772,0.0037,1992
Connecticut,HARTFORD,414804,0.3196,0.4713,0.2049,0.0041,1992
Connecticut,LITCHFIELD,93213,0.37,0.3614,0.2643,0.0042,1992
Connecticut,MIDDLESEX,81027,0.3042,0.4283,0.2629,0.0045,1992
Connecticut,NEW HAVEN,385132,0.3668,0.419,0.2098,0.0044,1992
Connecticut,NEW LONDON,117767,0.2935,0.4229,0.278,0.0056,1992
Connecticut,TOLLAND,66215,0.3116,0.4142,0.2708,0.0034,1992
Connecticut,WINDHAM,48588,0.308,0.4038,0.2841,0.0041,1992
Connecticut,Votes Not Reported by County,176,0,0,0,1,1992
Delaware,KENT,40255,0.3866,0.3817,0.2215,0.0103,1992
Delaware,NEW CASTLE,196904,0.3368,0.4648,0.1909,0.0076,1992
Delaware,SUSSEX,52576,0.3888,0.3647,0.2419,0.0047,1992
Florida,ALACHUA,76372,0.2987,0.4961,0.2003,0.0049,1992
Florida,BAKER,6756,0.5059,0.2925,0.1946,0.007,1992
Florida,BAY,45689,0.4999,0.2812,0.2126,0.0063,1992
Florida,BRADFORD,8341,0.4402,0.3646,0.1887,0.0065,1992
Florida,BREVARD,195860,0.4319,0.3119,0.2528,0.0034,1992
Florida,BROWARD,533050,0.3092,0.5185,0.1706,0.0017,1992
Florida,CALHOUN,4579,0.3758,0.3636,0.2568,0.0037,1992
Florida,CHARLOTTE,62064,0.3917,0.3691,0.2372,0.002,1992
Florida,CITRUS,44746,0.3668,0.3562,0.2752,0.0019,1992
Florida,CLAY,45485,0.5795,0.2333,0.1852,0.002,1992
Florida,COLLIER,71944,0.5344,0.2613,0.2018,0.0025,1992
Florida,COLUMBIA,14954,0.4341,0.3697,0.1943,0.0019,1992
Florida,DESOTO,7429,0.4132,0.3562,0.2271,0.0035,1992
Florida,DIXIE,4373,0.3204,0.4242,0.2502,0.0053,1992
Florida,DUVAL,249926,0.4947,0.3685,0.1336,0.0032,1992
Florida,ESCAMBIA,105221,0.5024,0.3045,0.1893,0.0037,1992
Florida,FLAGLER,16355,0.3819,0.4092,0.2073,0.0016,1992
Florida,FRANKLIN,4380,0.3799,0.3505,0.2612,0.0084,1992
Florida,GADSDEN,14394,0.2762,0.5896,0.13,0.0043,1992
Florida,GILCHRIST,4017,0.3473,0.3762,0.2713,0.0052,1992
Florida,GLADES,3374,0.3512,0.3868,0.2602,0.0018,1992
Florida,GULF,5854,0.4529,0.3311,0.2127,0.0034,1992
Florida,HAMILTON,3725,0.3764,0.4354,0.1866,0.0016,1992
Florida,HARDEE,6433,0.4508,0.3137,0.233,0.0025,1992
Florida,HENDRY,8016,0.4091,0.3357,0.2535,0.0017,1992
Florida,HERNANDO,49086,0.3647,0.3906,0.2414,0.0033,1992
Florida,HIGHLANDS,32391,0.4476,0.3469,0.2035,0.0019,1992
Florida,HILLSBOROUGH,310502,0.4207,0.3713,0.2031,0.0049,1992
Florida,HOLMES,6528,0.4896,0.2875,0.2186,0.0043,1992
Florida,INDIAN RIVER,43962,0.4354,0.2812,0.2815,0.002,1992
Florida,JACKSON,14676,0.4582,0.3735,0.1669,0.0013,1992
Florida,JEFFERSON,4678,0.3219,0.4855,0.1913,0.0013,1992
Florida,LAFAYETTE,2525,0.4115,0.3434,0.2424,0.0028,1992
Florida,LAKE,69787,0.4417,0.3324,0.2237,0.0021,1992
Florida,LEE,166002,0.4424,0.3232,0.2316,0.0027,1992
Florida,LEON,97294,0.3287,0.4912,0.1769,0.0032,1992
Florida,LEVY,10936,0.3471,0.3959,0.2546,0.0024,1992
Florida,LIBERTY,2576,0.4371,0.3183,0.2395,0.005,1992
Florida,MADISON,5838,0.3438,0.4536,0.2011,0.0015,1992
Florida,MANATEE,100220,0.4263,0.3377,0.2324,0.0036,1992
Florida,MARION,86989,0.4074,0.3544,0.236,0.0022,1992
Florida,MARTIN,53184,0.4663,0.2783,0.2527,0.0026,1992
Florida,MIAMI-DADE,544843,0.4319,0.4673,0.0991,0.0017,1992
Florida,MONROE,28789,0.3438,0.363,0.2888,0.0044,1992
Florida,NASSAU,18174,0.5154,0.3028,0.1791,0.0027,1992
Florida,OKALOOSA,61769,0.5313,0.1949,0.2699,0.0039,1992
Florida,OKEECHOBEE,9370,0.352,0.3648,0.2825,7.00E-04,1992
Florida,ORANGE,237011,0.459,0.3489,0.1892,0.0029,1992
Florida,OSCEOLA,45267,0.4229,0.3316,0.2435,0.0021,1992
Florida,PALM BEACH,405251,0.3463,0.4636,0.1881,0.0019,1992
Florida,PASCO,135962,0.3511,0.3908,0.2549,0.0033,1992
Florida,PINELLAS,422851,0.3763,0.3796,0.2395,0.0046,1992
Florida,POLK,145900,0.4521,0.3526,0.1933,0.0019,1992
Florida,PUTNAM,25661,0.3472,0.4173,0.233,0.0025,1992
Florida,SANTA ROSA,32777,0.529,0.2,0.2681,0.0029,1992
Florida,SARASOTA,156352,0.4276,0.3489,0.2193,0.0042,1992
Florida,SEMINOLE,117560,0.4857,0.3033,0.2083,0.0027,1992
Florida,ST. JOHNS,39986,0.5049,0.3074,0.1851,0.0027,1992
Florida,ST. LUCIE,68233,0.3576,0.3499,0.2904,0.0021,1992
Florida,SUMTER,12329,0.3541,0.4077,0.2353,0.0028,1992
Florida,SUWANNEE,11374,0.4023,0.3506,0.2454,0.0017,1992
Florida,TAYLOR,7213,0.3734,0.356,0.2674,0.0032,1992
Florida,UNION,3571,0.4329,0.3495,0.2156,0.002,1992
Florida,VOLUSIA,155499,0.3805,0.4194,0.1982,0.0018,1992
Florida,WAKULLA,6714,0.3852,0.3455,0.2666,0.0027,1992
Florida,WALTON,13554,0.4225,0.2869,0.287,0.0037,1992
Florida,WASHINGTON,7871,0.4694,0.3232,0.2028,0.0046,1992
Georgia,APPLING,6027,0.4171,0.4073,0.1737,0.0018,1992
Georgia,ATKINSON,2185,0.3565,0.4833,0.1565,0.0037,1992
Georgia,BACON,3335,0.3901,0.4267,0.1811,0.0021,1992
Georgia,BAKER,1468,0.2663,0.5886,0.1431,0.002,1992
Georgia,BALDWIN,11788,0.3616,0.4931,0.1424,0.0029,1992
Georgia,BANKS,3671,0.4225,0.4168,0.1588,0.0019,1992
Georgia,BARROW,9982,0.4336,0.3998,0.1636,0.003,1992
Georgia,BARTOW,16990,0.4557,0.3929,0.1471,0.0043,1992
Georgia,BEN HILL,4464,0.3306,0.526,0.1387,0.0047,1992
Georgia,BERRIEN,4543,0.3603,0.4629,0.1752,0.0015,1992
Georgia,BIBB,54049,0.3672,0.5193,0.1114,0.0021,1992
Georgia,BLECKLEY,3956,0.3969,0.4323,0.1673,0.0035,1992
Georgia,BRANTLEY,4274,0.3606,0.4406,0.1965,0.0023,1992
Georgia,BROOKS,4315,0.4123,0.4392,0.146,0.0025,1992
Georgia,BRYAN,5928,0.4705,0.3426,0.1847,0.0022,1992
Georgia,BULLOCH,12644,0.45,0.3878,0.1598,0.0025,1992
Georgia,BURKE,6859,0.3484,0.5317,0.1177,0.0022,1992
Georgia,BUTTS,4851,0.3645,0.5046,0.1276,0.0033,1992
Georgia,CALHOUN,2018,0.2299,0.6447,0.1229,0.0025,1992
