"Office","State","RaceDate","CensusPop","Area","AreaType","TotalVotes","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","OtherVotes","PluralityVotes","PluralityParty","RepVotesTotalPercent","DemVotesTotalPercent","ThirdVotesTotalPercent","OtherVotesTotalPercent","RepVotesMajorPercent","DemVotesMajorPercent","RaceNotes","TitleNotes","OtherNotes"
"President","Ohio","19961105","N/A","DELAWARE","County","41,415","24,123","Dole, Robert","Challenger","13,463","Clinton, Bill","Incumbent","Reform","3,471","Perot, Ross","Challenger","358","10,660","R","58.25","32.51","8.38",".86","64.18","35.82","","",""
"President","Ohio","19961105","N/A","ERIE","County","33,449","12,204","Dole, Robert","Challenger","16,730","Clinton, Bill","Incumbent","Reform","4,225","Perot, Ross","Challenger","290","4,526","D","36.49","50.02","12.63",".87","42.18","57.82","","",""
"President","Ohio","19961105","N/A","FAIRFIELD","County","50,684","26,850","Dole, Robert","Challenger","18,821","Clinton, Bill","Incumbent","Reform","4,660","Perot, Ross","Challenger","353","8,029","R","52.98","37.13","9.19",".70","58.79","41.21","","",""
"President","Ohio","19961105","N/A","FAYETTE","County","9,607","4,831","Dole, Robert","Challenger","3,665","Clinton, Bill","Incumbent","Reform","1,047","Perot, Ross","Challenger","64","1,166","R","50.29","38.15","10.90",".67","56.86","43.14","","",""
"President","Ohio","19961105","N/A","FRANKLIN","County","400,515","178,412","Dole, Robert","Challenger","192,795","Clinton, Bill","Incumbent","Reform","25,400","Perot, Ross","Challenger","3,908","14,383","D","44.55","48.14","6.34",".98","48.06","51.94","","",""
"President","Ohio","19961105","N/A","FULTON","County","17,907","8,703","Dole, Robert","Challenger","6,662","Clinton, Bill","Incumbent","Reform","2,412","Perot, Ross","Challenger","130","2,041","R","48.60","37.20","13.47",".73","56.64","43.36","","",""
"President","Ohio","19961105","N/A","GALLIA","County","12,466","5,135","Dole, Robert","Challenger","5,386","Clinton, Bill","Incumbent","Reform","1,839","Perot, Ross","Challenger","106","251","D","41.19","43.21","14.75",".85","48.81","51.19","","",""
"President","Ohio","19961105","N/A","GEAUGA","County","39,089","19,662","Dole, Robert","Challenger","14,143","Clinton, Bill","Incumbent","Reform","4,848","Perot, Ross","Challenger","436","5,519","R","50.30","36.18","12.40","1.12","58.16","41.84","","",""
"President","Ohio","19961105","N/A","GREENE","County","61,782","30,677","Dole, Robert","Challenger","25,082","Clinton, Bill","Incumbent","Reform","5,246","Perot, Ross","Challenger","777","5,595","R","49.65","40.60","8.49","1.26","55.02","44.98","","",""
"President","Ohio","19961105","N/A","GUERNSEY","County","15,108","5,970","Dole, Robert","Challenger","6,731","Clinton, Bill","Incumbent","Reform","2,251","Perot, Ross","Challenger","156","761","D","39.52","44.55","14.90","1.03","47.00","53.00","","",""
"President","Ohio","19961105","N/A","HAMILTON","County","372,068","186,493","Dole, Robert","Challenger","160,458","Clinton, Bill","Incumbent","Reform","21,335","Perot, Ross","Challenger","3,782","26,035","R","50.12","43.13","5.73","1.02","53.75","46.25","","",""
"President","Ohio","19961105","N/A","HANCOCK","County","29,908","17,252","Dole, Robert","Challenger","9,334","Clinton, Bill","Incumbent","Reform","2,904","Perot, Ross","Challenger","418","7,918","R","57.68","31.21","9.71","1.40","64.89","35.11","","",""
"President","Ohio","19961105","N/A","HARDIN","County","11,876","5,506","Dole, Robert","Challenger","4,930","Clinton, Bill","Incumbent","Reform","1,365","Perot, Ross","Challenger","75","576","R","46.36","41.51","11.49",".63","52.76","47.24","","",""
"President","Ohio","19961105","N/A","HARRISON","County","7,402","2,310","Dole, Robert","Challenger","3,721","Clinton, Bill","Incumbent","Reform","1,302","Perot, Ross","Challenger","69","1,411","D","31.21","50.27","17.59",".93","38.30","61.70","","",""
"President","Ohio","19961105","N/A","HENRY","County","12,785","6,385","Dole, Robert","Challenger","4,762","Clinton, Bill","Incumbent","Reform","1,550","Perot, Ross","Challenger","88","1,623","R","49.94","37.25","12.12",".69","57.28","42.72","","",""
"President","Ohio","19961105","N/A","HIGHLAND","County","14,674","7,102","Dole, Robert","Challenger","5,837","Clinton, Bill","Incumbent","Reform","1,629","Perot, Ross","Challenger","106","1,265","R","48.40","39.78","11.10",".72","54.89","45.11","","",""
"President","Ohio","19961105","N/A","HOCKING","County","10,356","4,017","Dole, Robert","Challenger","4,646","Clinton, Bill","Incumbent","Reform","1,564","Perot, Ross","Challenger","129","629","D","38.79","44.86","15.10","1.25","46.37","53.63","","",""
"President","Ohio","19961105","N/A","HOLMES","County","9,084","5,213","Dole, Robert","Challenger","2,531","Clinton, Bill","Incumbent","Reform","1,276","Perot, Ross","Challenger","64","2,682","R","57.39","27.86","14.05",".70","67.32","32.68","","",""
"President","Ohio","19961105","N/A","HURON","County","21,161","8,750","Dole, Robert","Challenger","8,858","Clinton, Bill","Incumbent","Reform","3,338","Perot, Ross","Challenger","215","108","D","41.35","41.86","15.77","1.02","49.69","50.31","","",""
"President","Ohio","19961105","N/A","JACKSON","County","12,095","4,922","Dole, Robert","Challenger","5,538","Clinton, Bill","Incumbent","Reform","1,529","Perot, Ross","Challenger","106","616","D","40.69","45.79","12.64",".88","47.06","52.94","","",""
"President","Ohio","19961105","N/A","JEFFERSON","County","34,623","10,212","Dole, Robert","Challenger","19,402","Clinton, Bill","Incumbent","Reform","4,748","Perot, Ross","Challenger","261","9,190","D","29.49","56.04","13.71",".75","34.48","65.52","","",""
"President","Ohio","19961105","N/A","KNOX","County","20,068","10,159","Dole, Robert","Challenger","7,562","Clinton, Bill","Incumbent","Reform","2,138","Perot, Ross","Challenger","209","2,597","R","50.62","37.68","10.65","1.04","57.33","42.67","","",""
"President","Ohio","19961105","N/A","LAKE","County","97,736","40,974","Dole, Robert","Challenger","43,186","Clinton, Bill","Incumbent","Reform","12,507","Perot, Ross","Challenger","1,069","2,212","D","41.92","44.19","12.80","1.09","48.69","51.31","","",""
"President","Ohio","19961105","N/A","LAWRENCE","County","23,926","8,832","Dole, Robert","Challenger","11,595","Clinton, Bill","Incumbent","Reform","3,232","Perot, Ross","Challenger","267","2,763","D","36.91","48.46","13.51","1.12","43.24","56.76","","",""
"President","Ohio","19961105","N/A","LICKING","County","57,967","28,276","Dole, Robert","Challenger","22,624","Clinton, Bill","Incumbent","Reform","6,516","Perot, Ross","Challenger","551","5,652","R","48.78","39.03","11.24",".95","55.55","44.45","","",""
"President","Ohio","19961105","N/A","LOGAN","County","17,145","8,325","Dole, Robert","Challenger","6,397","Clinton, Bill","Incumbent","Reform","2,264","Perot, Ross","Challenger","159","1,928","R","48.56","37.31","13.21",".93","56.55","43.45","","",""
"President","Ohio","19961105","N/A","LORAIN","County","106,445","34,937","Dole, Robert","Challenger","55,744","Clinton, Bill","Incumbent","Reform","14,889","Perot, Ross","Challenger","875","20,807","D","32.82","52.37","13.99",".82","38.53","61.47","","",""
"President","Ohio","19961105","N/A","LUCAS","County","181,747","58,120","Dole, Robert","Challenger","104,911","Clinton, Bill","Incumbent","Reform","17,282","Perot, Ross","Challenger","1,434","46,791","D","31.98","57.72","9.51",".79","35.65","64.35","","",""
"President","Ohio","19961105","N/A","MADISON","County","13,421","6,871","Dole, Robert","Challenger","5,072","Clinton, Bill","Incumbent","Reform","1,386","Perot, Ross","Challenger","92","1,799","R","51.20","37.79","10.33",".69","57.53","42.47","","",""
"President","Ohio","19961105","N/A","MAHONING","County","118,178","31,397","Dole, Robert","Challenger","72,716","Clinton, Bill","Incumbent","Reform","13,213","Perot, Ross","Challenger","852","41,319","D","26.57","61.53","11.18",".72","30.16","69.84","","",""
"President","Ohio","19961105","N/A","MARION","County","24,674","11,112","Dole, Robert","Challenger","10,482","Clinton, Bill","Incumbent","Reform","2,897","Perot, Ross","Challenger","183","630","R","45.04","42.48","11.74",".74","51.46","48.54","","",""
"President","Ohio","19961105","N/A","MEDINA","County","59,086","26,120","Dole, Robert","Challenger","23,727","Clinton, Bill","Incumbent","Reform","8,700","Perot, Ross","Challenger","539","2,393","R","44.21","40.16","14.72",".91","52.40","47.60","","",""
"President","Ohio","19961105","N/A","MEIGS","County","9,465","3,622","Dole, Robert","Challenger","4,275","Clinton, Bill","Incumbent","Reform","1,453","Perot, Ross","Challenger","115","653","D","38.27","45.17","15.35","1.22","45.87","54.13","","",""
"President","Ohio","19961105","N/A","MERCER","County","17,653","8,832","Dole, Robert","Challenger","6,300","Clinton, Bill","Incumbent","Reform","2,361","Perot, Ross","Challenger","160","2,532","R","50.03","35.69","13.37",".91","58.37","41.63","","",""
