office,state,year,district,redistrict_date,rep_votes,rep_candidate,rep_status,dem_votes,dem_candidate,dem_status,third_party,third_votes,third_candidate,third_status,other_votes,plurality_votes,plurality_party,pct_third,pct_rep,pct_dem
House,Massachusetts,1994,District 9,19920101,"63,369","Murphy, Michael M.",Challenger,"146,287","Moakley, John J.",Challenger,N/A,N/A,N/A,N/A,N/A,"82,918",D,0,30.23,69.77
House,Massachusetts,1992,District 9,19920101,"54,291","Conboy, Martin D.",Challenger,"175,550","Moakley, John J.",Challenger,N/A,N/A,N/A,N/A,"23,793","121,259",D,0,23.62,76.38
House,Massachusetts,2000,District 10,19920101,"81,192","Bleicken, Eric V.",Challenger,"234,675","Delahunt, Bill",Incumbent,N/A,N/A,N/A,N/A,697,"153,483",D,0,25.7,74.3
House,Massachusetts,1998,District 10,19920101,"70,466","Bleicken, Eric V.",Challenger,"164,917","Delahunt, Bill",Incumbent,N/A,N/A,N/A,N/A,180,"94,451",D,0,29.94,70.06
House,Massachusetts,1996,District 10,19920101,"123,523","Teague, Edward",Challenger,"160,747","Delahunt, Bill",Challenger,N/A,N/A,N/A,N/A,"11,662","37,224",D,0,43.45,56.55
House,Massachusetts,1994,District 10,19920101,"78,487","Hemeon, Keith J.",Challenger,"172,753","Studds, Gerry E.",Incumbent,N/A,N/A,N/A,N/A,N/A,"94,266",D,0,31.24,68.76
House,Massachusetts,1992,District 10,19920101,"75,887","Daly, Daniel W.",Challenger,"189,343","Studds, Gerry E.",Incumbent,N/A,N/A,N/A,N/A,"46,421","113,456",D,0,28.61,71.39
House,Michigan,2000,District 1,19920101,"117,300","Yob, Chuck",Challenger,"169,649","Stupak, Bart",Incumbent,N/A,N/A,N/A,N/A,"3,620","52,349",D,0,40.88,59.12
House,Michigan,1998,District 1,19920101,"87,630","McManus, Michelle",Challenger,"130,129","Stupak, Bart",Incumbent,N/A,N/A,N/A,N/A,"4,037","42,499",D,0,40.24,59.76
House,Michigan,1996,District 1,19920101,"69,957","Carr, M. Robert",Challenger,"181,486","Stupak, Bart",Incumbent,N/A,N/A,N/A,N/A,"5,348","111,529",D,0,27.82,72.18
House,Michigan,1994,District 1,19920101,"89,660","Ziegler, Gil",Challenger,"121,433","Stupak, Bart",Incumbent,N/A,N/A,N/A,N/A,"2,399","31,773",D,0,42.47,57.53
House,Michigan,1992,District 1,19920101,"117,056","Ruppe, Philip E.",Challenger,"144,857","Stupak, Bart",Challenger,N/A,N/A,N/A,N/A,"6,706","27,801",D,0,44.69,55.31
House,Michigan,2000,District 2,19920101,"186,762","Hoekstra, Peter",Incumbent,"96,370","Shrauger, Bob",Challenger,N/A,N/A,N/A,N/A,"6,793","90,392",R,0,65.96,34.04
House,Michigan,1998,District 2,19920101,"146,854","Hoekstra, Peter",Incumbent,"63,573","Shrauger, Bob",Challenger,N/A,N/A,N/A,N/A,"3,195","83,281",R,0,69.79,30.21
House,Michigan,1996,District 2,19920101,"165,608","Hoekstra, Peter",Incumbent,"83,603","Kruszynski, Dan",Challenger,N/A,N/A,N/A,N/A,"4,488","82,005",R,0,66.45,33.55
House,Michigan,1994,District 2,19920101,"146,164","Hoekstra, Peter",Incumbent,"46,097","Hoover, Marcus P.",Challenger,N/A,N/A,N/A,N/A,"1,892","100,067",R,0,76.02,23.98
House,Michigan,1992,District 2,19920101,"155,577","Hoekstra, Peter",Challenger,"86,265","Miltner, John H.",Challenger,N/A,N/A,N/A,N/A,"4,919","69,312",R,0,64.33,35.67
House,Michigan,2000,District 3,19920101,"179,539","Ehlers, Vernon J.",Incumbent,"91,309","Steele, Timothy",Challenger,N/A,N/A,N/A,N/A,"5,415","88,230",R,0,66.29,33.71
House,Michigan,1998,District 3,19920101,"146,364","Ehlers, Vernon J.",Incumbent,"49,489","Ferguson, John Jr.",Challenger,N/A,N/A,N/A,N/A,"4,398","96,875",R,0,74.73,25.27
House,Michigan,1996,District 3,19920101,"169,466","Ehlers, Vernon J.",Incumbent,"72,791","Flory, Betsy J.",Challenger,N/A,N/A,N/A,N/A,"4,786","96,675",R,0,69.95,30.05
House,Michigan,1994,District 3,19920101,"136,711","Ehlers, Vernon J.",Challenger,"43,580","Flory, Betsy J.",Challenger,N/A,N/A,N/A,N/A,"4,775","93,131",R,0,75.83,24.17
House,Michigan,1992,District 3,19920101,"162,451","Henry, Paul",Incumbent,"95,927","Kooistra, Carol S.",Challenger,N/A,N/A,N/A,N/A,"6,570","66,524",R,0,62.87,37.13
House,Michigan,2000,District 4,19920101,"182,128","Camp, Dave",Incumbent,"78,019","Hollenbeck, Lawrence",Challenger,N/A,N/A,N/A,N/A,"7,672","104,109",R,0,70.01,29.99
House,Michigan,1998,District 4,19920101,"155,343","Camp, Dave",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"14,766","155,343",R,0,100,0
House,Michigan,1996,District 4,19920101,"159,561","Camp, Dave",Incumbent,"79,691","Donaldson, Lisa",Challenger,N/A,N/A,N/A,N/A,"4,393","79,870",R,0,66.69,33.31
House,Michigan,1994,District 4,19920101,"145,176","Camp, Dave",Incumbent,"50,544","Frasier, Damion",Challenger,N/A,N/A,N/A,N/A,"2,797","94,632",R,0,74.18,25.82
House,Michigan,1992,District 4,19920101,"157,337","Camp, Dave",Incumbent,"87,573","Donaldson, Lisa",Challenger,N/A,N/A,N/A,N/A,"6,629","69,764",R,0,64.24,35.76
House,Michigan,2000,District 5,19920101,"59,274","Actis, Ronald",Challenger,"184,048","Barcia, James A.",Incumbent,N/A,N/A,N/A,N/A,"4,415","124,774",D,0,24.36,75.64
