Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Arizona,N/A,2004,District 6,6,20020101,"202,882","Flake, Jeff",Incumbent,N/A,N/A,N/A,Libertarian,"52,695","Stritar, Craig B.",Challenger,N/A,"150,187",R,20.62,100,0,
House,Arizona,N/A,2002,District 6,6,20020101,"103,094","Flake, Jeff",Incumbent,"49,355","Thomas, Deborah",Challenger,N/A,N/A,N/A,N/A,"3,888","53,739",R,0,67.63,32.37,
House,Arizona,N/A,2010,District 7,7,20020101,"70,385","McClung, Ruth",Challenger,"79,935","Grijalva, Raœl M.",Incumbent,N/A,N/A,N/A,N/A,"8,824","9,550",D,0,46.82,53.18,
House,Arizona,N/A,2008,District 7,7,20020101,"64,425","Sweeney, Joseph D.",Challenger,"124,304","Grijalva, Raœl M.",Incumbent,N/A,N/A,N/A,N/A,"7,760","59,879",D,0,34.14,65.86,
House,Arizona,N/A,2006,District 7,7,20020101,"46,498","Drake, Ron",Challenger,"80,354","Grijalva, Raœl M.",Incumbent,N/A,N/A,N/A,N/A,"4,673","33,856",D,0,36.66,63.34,
House,Arizona,N/A,2004,District 7,7,20020101,"59,066","Sweeney, Joseph D.",Challenger,"108,868","Grijalva, Raœl M.",Incumbent,Libertarian,"7,503","Kaplan, Dave",Challenger,N/A,"49,802",D,4.28,35.17,64.83,
House,Arizona,N/A,2002,District 7,7,20020101,"38,474","Hieb, Ross",Challenger,"61,256","Grijalva, Raœl M.",Challenger,N/A,N/A,N/A,N/A,"4,088","22,782",D,0,38.58,61.42,
House,Arizona,N/A,2010,District 8,8,20020101,"134,124","Kelly, Jesse",Challenger,"138,280","Giffords, Gabrielle",Incumbent,N/A,N/A,N/A,N/A,"11,174","4,156",D,0,49.24,50.76,
House,Arizona,N/A,2008,District 8,8,20020101,"140,553","Bee, Tim",Challenger,"179,629","Giffords, Gabrielle",Incumbent,N/A,N/A,N/A,N/A,"8,084","39,076",D,0,43.9,56.1,
House,Arizona,N/A,2006,District 8,8,20020101,"106,790","Graf, Randy",Challenger,"137,655","Giffords, Gabrielle",Challenger,N/A,N/A,N/A,N/A,"9,275","30,865",D,0,43.69,56.31,
House,Arizona,N/A,2004,District 8,8,20020101,"183,363","Kolbe, Jim",Incumbent,"109,963","Bacal, Eva K.",Challenger,Libertarian,"10,443","Anderson, Robert M.",Challenger,N/A,"73,400",R,3.44,62.51,37.49,
House,Arizona,N/A,2002,District 8,8,20020101,"126,930","Kolbe, Jim",Incumbent,"67,328","Ryan, Mary Judge",Challenger,N/A,N/A,N/A,N/A,"6,170","59,602",R,0,65.34,34.66,
House,Arkansas,N/A,2010,District 1,1,20020101,"93,224","Crawford, Rick",Challenger,"78,267","Causey, Chad",Challenger,N/A,N/A,N/A,N/A,"8,525","14,957",R,0,54.36,45.64,
House,Arkansas,N/A,2008,District 1,1,20020101,N/A,N/A,N/A,Unopposed,"Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,0,D,0,0,100,
House,Arkansas,N/A,2006,District 1,1,20020101,"56,611","Stumbaugh, Mickey",Challenger,"127,577","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"70,966",D,0,30.74,69.26,
House,Arkansas,N/A,2004,District 1,1,20020101,"81,556","Humphrey, Vernon W.",Challenger,"162,388","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"80,832",D,0,33.43,66.57,
House,Arkansas,N/A,2002,District 1,1,20020101,"64,357","Robinson, Tommy F.",Challenger,"129,701","Berry, Marion",Incumbent,N/A,N/A,N/A,N/A,N/A,"65,344",D,0,33.16,66.84,
House,Arkansas,N/A,2010,District 2,2,20020101,"122,091","Griffin, Tim",Challenger,"80,687","Elliott, Joyce",Challenger,N/A,N/A,N/A,N/A,"8,074","41,404",R,0,60.21,39.79,
House,Arkansas,N/A,2008,District 2,2,20020101,N/A,N/A,N/A,"212,303","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,"65,063","212,303",D,0,0,100,
House,Arkansas,N/A,2006,District 2,2,20020101,"81,432","Mayberry, Andy",Challenger,"124,871","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,N/A,"43,439",D,0,39.47,60.53,
House,Arkansas,N/A,2004,District 2,2,20020101,"115,655","Parks, Marvin L.",Challenger,"160,834","Snyder, Vic",Incumbent,Write-in,4,"Gabriel, William B.",Challenger,N/A,"45,179",D,0,41.83,58.17,
House,Arkansas,N/A,2002,District 2,2,20020101,N/A,N/A,N/A,"142,752","Snyder, Vic",Incumbent,N/A,N/A,N/A,N/A,"10,874","142,752",D,0,0,100,
House,Arkansas,N/A,2010,District 3,3,20020101,"148,581","Womack, Steve",Challenger,"56,542","Whitaker, David",Challenger,N/A,N/A,N/A,N/A,N/A,"92,039",R,0,72.44,27.56,
House,Arkansas,N/A,2008,District 3,3,20020101,"215,196","Boozman, John",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"58,850","215,196",R,0,100,0,
House,Arkansas,N/A,2006,District 3,3,20020101,"125,039","Boozman, John",Incumbent,"75,885","Anderson, Woodrow",Challenger,N/A,N/A,N/A,N/A,N/A,"49,154",R,0,62.23,37.77,
House,Arkansas,N/A,2004,District 3,3,20020101,"160,629","Boozman, John",Incumbent,"103,158","Judy, Janice Ann",Challenger,Independent,"7,016","Morfey, Dale W.",Challenger,N/A,"57,471",R,2.59,60.89,39.11,
House,Arkansas,N/A,2002,District 3,3,20020101,"141,478","Boozman, John",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,577","141,478",R,0,100,0,
House,Arkansas,N/A,2010,District 4,4,20020101,"71,526","Rankin, Beth Anne",Challenger,"102,479","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,"4,129","30,953",D,0,41.11,58.89,
House,Arkansas,N/A,2008,District 4,4,20020101,N/A,N/A,N/A,"203,178","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,"32,603","203,178",D,0,0,100,
House,Arkansas,N/A,2006,District 4,4,20020101,"43,360","Ross, Joe",Challenger,"128,236","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,"84,876",D,0,25.27,74.73,
House,Arkansas,N/A,2004,District 4,4,20020101,N/A,N/A,N/A,N/A,"Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,0,D,0,0,0,
House,Arkansas,N/A,2002,District 4,4,20020101,"77,904","Dickey, Jay",Challenger,"119,633","Ross, Mike",Incumbent,N/A,N/A,N/A,N/A,N/A,"41,729",D,0,39.44,60.56,
House,California,N/A,2010,District 1,1,20020101,"72,803","Hanks, Loren",Challenger,"147,307","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"14,482","74,504",D,0,33.08,66.92,
House,California,N/A,2008,District 1,1,20020101,"67,853","Starkewolf, Zane",Challenger,"197,812","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"24,807","129,959",D,0,25.54,74.46,
House,California,N/A,2006,District 1,1,20020101,"63,194","Jones, John W.",Challenger,"144,409","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"10,441","81,215",D,0,30.44,69.56,
House,California,N/A,2004,District 1,1,20020101,"79,970","Wiesner, Lawrence R.",Challenger,"189,366","Thompson, Mike",Incumbent,Green,"13,635","Elizondo, Pamela",Challenger,N/A,"109,396",D,4.82,29.69,70.31,
House,California,N/A,2002,District 1,1,20020101,"60,013","Wiesner, Lawrence R.",Challenger,"118,669","Thompson, Mike",Incumbent,N/A,N/A,N/A,N/A,"6,534","58,656",D,0,33.59,66.41,
House,California,N/A,2010,District 2,2,20020101,"130,837","Herger, Wally",Incumbent,"98,092","Reed, Jim",Challenger,N/A,N/A,N/A,N/A,11,"32,745",R,0,57.15,42.85,
House,California,N/A,2008,District 2,2,20020101,"163,459","Herger, Wally",Incumbent,"118,878","Morris, Jeff",Challenger,N/A,N/A,N/A,N/A,N/A,"44,581",R,0,57.89,42.11,
House,California,N/A,2006,District 2,2,20020101,"134,911","Herger, Wally",Incumbent,"68,234","Sekhon, A.J.",Challenger,N/A,N/A,N/A,N/A,"7,057","66,677",R,0,66.41,33.59,
House,California,N/A,2004,District 2,2,20020101,"182,119","Herger, Wally",Incumbent,"90,310","Johnson, Mike",Challenger,N/A,N/A,N/A,N/A,N/A,"91,809",R,0,66.85,33.15,
House,California,N/A,2002,District 2,2,20020101,"117,747","Herger, Wally",Incumbent,"52,455","Johnson, Mike",Challenger,N/A,N/A,N/A,N/A,"8,783","65,292",R,0,69.18,30.82,
House,California,N/A,2010,District 3,3,20020101,"131,169","Lungren, Dan",Incumbent,"113,128","Bera, Ami",Challenger,N/A,N/A,N/A,N/A,"17,641","18,041",R,0,53.69,46.31,
House,California,N/A,2008,District 3,3,20020101,"155,424","Lungren, Dan",Incumbent,"137,971","Durston, Bill",Challenger,N/A,N/A,N/A,N/A,"20,651","17,453",R,0,52.97,47.03,
House,California,N/A,2006,District 3,3,20020101,"135,709","Lungren, Dan",Incumbent,"86,318","Durston, Bill",Challenger,N/A,N/A,N/A,N/A,"6,142","49,391",R,0,61.12,38.88,
House,California,N/A,2004,District 3,3,20020101,"177,738","Lungren, Dan",Challenger,"100,025","Castillo, Gabe",Challenger,Libertarian,"9,310","Tuma, Douglas Arthur",Challenger,N/A,"77,713",R,3.24,63.99,36.01,
House,California,N/A,2002,District 3,3,20020101,"121,732","Ose, Doug",Incumbent,"67,136","Beeman, Howard",Challenger,N/A,N/A,N/A,N/A,"6,050","54,596",R,0,64.45,35.55,
House,California,N/A,2010,District 4,4,20020101,"186,397","McClintock, Tom",Challenger,"95,653","Curtis, Clint",Challenger,N/A,N/A,N/A,N/A,"22,179","90,744",R,0,66.09,33.91,
House,California,N/A,2008,District 4,4,20020101,"185,790","McClintock, Tom",Challenger,"183,990","Brown, Charlie",Challenger,N/A,N/A,N/A,N/A,N/A,"1,800",R,0,50.24,49.76,
House,California,N/A,2006,District 4,4,20020101,"135,818","Doolittle, John T.",Incumbent,"126,999","Brown, Charlie",Challenger,N/A,N/A,N/A,N/A,"14,076","8,819",R,0,51.68,48.32,
House,California,N/A,2004,District 4,4,20020101,"221,926","Doolittle, John T.",Incumbent,"117,443","Winters, David I.",Challenger,N/A,N/A,N/A,N/A,N/A,"104,483",R,0,65.39,34.61,
House,California,N/A,2002,District 4,4,20020101,"147,997","Doolittle, John T.",Incumbent,"72,860","Norberg, Mark A.",Challenger,N/A,N/A,N/A,N/A,"7,649","75,137",R,0,67.01,32.99,
House,California,N/A,2010,District 5,5,20020101,"43,577","Smith, Paul A.",Challenger,"124,220","Matsui, Doris",Challenger,N/A,N/A,N/A,N/A,"4,613","80,643",D,0,25.97,74.03,
House,California,N/A,2008,District 5,5,20020101,"46,002","Smith, Paul A.",Challenger,"164,242","Matsui, Doris",Challenger,N/A,N/A,N/A,N/A,"10,911","118,240",D,0,21.88,78.12,
House,California,N/A,2006,District 5,5,20020101,"35,106","Yan, Claire",Challenger,"105,676","Matsui, Doris",Incumbent,N/A,N/A,N/A,N/A,"8,484","70,570",D,0,24.94,75.06,
House,California,N/A,2004,District 5,5,20020101,"45,120","Dugas, Mike R.",Challenger,"138,004","Matsui, Robert T.",Incumbent,Green,"6,593","Driscoll, Pat W.",Challenger,"3,670","92,884",D,3.41,24.64,75.36,"The other vote was: Reiger, John C. (Peace and Freedom) 3,670"
House,California,N/A,2002,District 5,5,20020101,"34,749","Frankhuizen, Richard",Challenger,"92,726","Matsui, Robert T.",Incumbent,N/A,N/A,N/A,N/A,"4,103","57,977",D,0,27.26,72.74,
House,California,N/A,2010,District 6,6,20020101,"77,361","Judd, Jim",Challenger,"172,216","Woolsey, Lynn",Incumbent,N/A,N/A,N/A,N/A,"5,660","94,855",D,0,31,69,
House,California,N/A,2008,District 6,6,20020101,"77,073","Halliwell, Mike",Challenger,"229,672","Woolsey, Lynn",Incumbent,N/A,N/A,N/A,N/A,"13,617","152,599",D,0,25.13,74.87,
House,California,N/A,2006,District 6,6,20020101,"64,405","Hooper, Todd",Challenger,"173,190","Woolsey, Lynn",Incumbent,N/A,N/A,N/A,N/A,"9,033","108,785",D,0,27.11,72.89,
House,California,N/A,2004,District 6,6,20020101,"85,244","Erickson, Paul L.",Challenger,"226,423","Woolsey, Lynn",Incumbent,N/A,N/A,N/A,N/A,N/A,"141,179",D,0,27.35,72.65,
House,California,N/A,2002,District 6,6,20020101,"62,052","Erickson, Paul L.",Challenger,"139,750","Woolsey, Lynn",Incumbent,N/A,N/A,N/A,N/A,"7,761","77,698",D,0,30.75,69.25,
House,California,N/A,2010,District 7,7,20020101,"56,798","Tubbs, Rick",Challenger,"122,118","Miller, George",Incumbent,N/A,N/A,N/A,N/A,N/A,"65,320",D,0,31.75,68.25,
House,California,N/A,2008,District 7,7,20020101,"51,166","Petersen, Roger Allen",Challenger,"170,962","Miller, George",Incumbent,N/A,N/A,N/A,N/A,"12,645","119,796",D,0,23.03,76.97,
House,California,N/A,2006,District 7,7,20020101,N/A,N/A,N/A,"118,000","Miller, George",Incumbent,N/A,N/A,N/A,N/A,"22,486","118,000",D,0,0,100,
House,California,N/A,2004,District 7,7,20020101,"52,446","Hargrave, Charles R.",Challenger,"166,831","Miller, George",Challenger,N/A,N/A,N/A,N/A,N/A,"114,385",D,0,23.92,76.08,
House,California,N/A,2002,District 7,7,20020101,"36,584","Hargrave, Charles R.",Challenger,"97,849","Miller, George",Incumbent,N/A,N/A,N/A,N/A,"3,943","61,265",D,0,27.21,72.79,
House,California,N/A,2010,District 8,8,20020101,"31,711","Dennis, John",Challenger,"167,957","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,"10,028","136,246",D,0,15.88,84.12,
House,California,N/A,2008,District 8,8,20020101,"27,614","Walsh, Dana",Challenger,"204,996","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,"52,637","177,382",D,0,11.87,88.13,
House,California,N/A,2006,District 8,8,20020101,"19,800","DeNunzio, Mike",Challenger,"148,435","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,"16,404","128,635",D,0,11.77,88.23,
